Round,Date,Home Team,Score,Away Team,Home Score,Away Score,Score Disparity,Home Game Points,Away Game Points,Venue,Bye
1,Saturday 20 March,Northern Mystics,55 - 52,Adelaide Thunderbirds,55,52,3,2,0,"Trusts Stadium, Auckland",
1,Sunday 21 March,Queensland Firebirds,47 - 50,New South Wales Swifts,47,50,3,0,2,Gold Coast Convention and Exhibition Centre,
1,Sunday 21 March,Southern Steel,46 - 44,West Coast Fever,46,44,2,2,0,"Stadium Southland, Invercargill",
1,Monday 22 March,Canterbury Tactix,54 - 48,Central Pulse,54,48,6,2,0,"Westpac Arena, Christchurch",
1,Monday 22 March,Melbourne Vixens,48 - 40,Waikato Bay of Plenty Magic,48,40,8,2,0,"Hisense Arena, Melbourne",
2,Saturday 27 March,Central Pulse,50 - 61,Northern Mystics,50,61,11,0,2,"Te Rauparaha Arena, Porirua",
2,Saturday 27 March,Adelaide Thunderbirds,38 - 45,New South Wales Swifts,38,45,7,0,2,"ETSA Park, Adelaide",
2,Sunday 28 March,Melbourne Vixens,53 - 46,Queensland Firebirds,53,46,7,2,0,"Hisense Arena, Melbourne",
2,Monday 29 March,Waikato Bay of Plenty Magic,47 - 41,Southern Steel,47,41,6,2,0,"Energy Events Centre, Rotorua",
2,Monday 29 March,West Coast Fever,62 - 44,Canterbury Tactix,62,44,18,2,0,"Challenge Stadium, Perth",
3,Saturday 3 April,Northern Mystics,46 - 55,Waikato Bay of Plenty Magic,46,55,9,0,2,"Trusts Stadium, Auckland",
3,Sunday 4 April,Queensland Firebirds,40 - 41,Adelaide Thunderbirds,40,41,1,0,2,Brisbane Convention and Exhibition Centre,
3,Sunday 4 April,Canterbury Tactix,53 - 56,New South Wales Swifts,53,56,3,0,2,"Westpac Arena, Christchurch",
3,Monday 5 April,Southern Steel,56 - 44,Central Pulse,56,44,12,2,0,"Edgar Centre, Dunedin",
3,Monday 5 April,West Coast Fever,50 - 64,Melbourne Vixens,50,64,14,0,2,"Challenge Stadium, Perth",
4,Saturday 10 April,Waikato Bay of Plenty Magic,55 - 50,West Coast Fever,55,50,5,2,0,"Mystery Creek Events Centre, Hamilton",
4,Saturday 10 April,New South Wales Swifts,50 - 36,Central Pulse,50,36,14,2,0,"State Sports Centre, Sydney",
4,Sunday 11 April,Adelaide Thunderbirds,53 - 36,Southern Steel,53,36,17,2,0,"ETSA Park, Adelaide",
4,Monday 12 April,Canterbury Tactix,49 - 64,Melbourne Vixens,49,64,15,0,2,"Westpac Arena, Christchurch",
4,Monday 12 April,Queensland Firebirds,71 - 54,Northern Mystics,71,54,17,2,0,Brisbane Convention and Exhibition Centre,
5,Saturday 17 April,Central Pulse,40 - 75,Adelaide Thunderbirds,40,75,35,0,2,"TSB Bank Arena, Wellington",
5,Sunday 18 April,New South Wales Swifts,55 - 43,West Coast Fever,55,43,12,2,0,Newcastle Entertainment Centre,
5,Sunday 18 April,Canterbury Tactix,36 - 53,Waikato Bay of Plenty Magic,36,53,17,0,2,"Westpac Arena, Christchurch",
5,Monday 19 April,Southern Steel,41 - 56,Queensland Firebirds,41,56,15,0,2,"Stadium Southland, Invercargill",
5,Monday 19 April,Melbourne Vixens,62 - 51,Northern Mystics,62,51,11,2,0,"Hisense Arena, Melbourne",
6,Saturday 24 April,Northern Mystics,59 - 50,Canterbury Tactix,59,50,9,2,0,"Trusts Stadium, Auckland",
6,Sunday 25 April,Queensland Firebirds,62 - 41,Melbourne Vixens,62,41,21,2,0,Brisbane Convention and Exhibition Centre,
6,Monday 26 April,Central Pulse,40 - 64,Southern Steel,40,64,24,0,2,"TSB Bank Arena, Wellington",
6,Monday 26 April,West Coast Fever,37 - 57,Adelaide Thunderbirds,37,57,20,0,2,"Challenge Stadium, Perth",
6,,,,,,,,,,,New South Wales Swifts
6,,,,,,,,,,,Waikato Bay of Plenty Magic
7,Saturday 1 May,Canterbury Tactix,38 - 66,Southern Steel,38,66,28,0,2,"Westpac Arena, Christchurch",
7,Sunday 2 May,New South Wales Swifts,56 - 42,Melbourne Vixens,56,42,14,2,0,"Acer Arena, Sydney",
7,Monday 3 May,Waikato Bay of Plenty Magic,49 - 46,Northern Mystics,49,46,3,2,0,"Mystery Creek Events Centre, Hamilton",
7,Monday 3 May,Queensland Firebirds,63 - 57,West Coast Fever,63,57,6,2,0,Brisbane Convention and Exhibition Centre,
7,,,,,,,,,,,Adelaide Thunderbirds
7,,,,,,,,,,,Central Pulse
8,Saturday 8 May,Waikato Bay of Plenty Magic,56 - 44,Central Pulse,56,44,12,2,0,"Energy Events Centre, Rotorua",
8,Sunday 9 May,New South Wales Swifts,60 - 44,Adelaide Thunderbirds,60,44,16,2,0,"State Sports Centre, Sydney",
8,Monday 10 May,Southern Steel,49 - 52,Northern Mystics,49,52,3,0,2,"Stadium Southland, Invercargill",
8,Monday 10 May,Melbourne Vixens,53 - 56,West Coast Fever,53,56,3,0,2,"Hisense Arena, Melbourne",
8,,,,,,,,,,,Queensland Firebirds
8,,,,,,,,,,,Canterbury Tactix
9,Saturday 15 May,Waikato Bay of Plenty Magic,72 - 52,Canterbury Tactix,72,52,20,2,0,"Mystery Creek Events Centre, Hamilton",
9,Sunday 16 May,Adelaide Thunderbirds,58 - 47,Melbourne Vixens,58,47,11,2,0,"ETSA Park, Adelaide",
9,Monday 17 May,Northern Mystics,61 - 60,Central Pulse,61,60,1,2,0,"Trusts Stadium, Auckland",
9,Monday 17 May,New South Wales Swifts,44 - 40,Queensland Firebirds,44,40,4,2,0,"State Sports Centre, Sydney",
9,,,,,,,,,,,West Coast Fever
9,,,,,,,,,,,Southern Steel
10,Saturday 22 May,Central Pulse,45 - 43,Canterbury Tactix,45,43,2,2,0,"TSB Bank Arena, Wellington",
10,Sunday 23 May,Adelaide Thunderbirds,53 - 51,Queensland Firebirds,53,51,2,2,0,"ETSA Park, Adelaide",
10,Monday 24 May,Southern Steel,52 - 47,Waikato Bay of Plenty Magic,52,47,5,2,0,"Stadium Southland, Invercargill",
10,Monday 24 May,West Coast Fever,52 - 61,New South Wales Swifts,52,61,9,0,2,"Challenge Stadium, Perth",
10,,,,,,,,,,,Melbourne Vixens
10,,,,,,,,,,,Northern Mystics
11,Saturday 29 May,Northern Mystics,48 - 54,New South Wales Swifts,48,54,6,0,2,"Trusts Stadium, Auckland",
11,Sunday 30 May,Adelaide Thunderbirds,58 - 34,Canterbury Tactix,58,34,24,2,0,"ETSA Park, Adelaide",
11,Sunday 30 May,Southern Steel,52 - 39,Melbourne Vixens,52,39,13,2,0,"Edgar Centre, Dunedin",
11,Monday 31 May,Waikato Bay of Plenty Magic,54 - 55,Queensland Firebirds,54,55,1,0,2,"Energy Events Centre, Rotorua",
11,Monday 31 May,West Coast Fever,63 - 45,Central Pulse,63,45,18,2,0,"Challenge Stadium, Perth",
12,Saturday 5 June,Northern Mystics,62 - 53,West Coast Fever,62,53,9,2,0,"North Shore Events Centre, Auckland",
12,Saturday 5 June,Queensland Firebirds,52 - 42,Central Pulse,52,42,10,2,0,Brisbane Convention and Exhibition Centre,
12,Sunday 6 June,Melbourne Vixens,43 - 54,Adelaide Thunderbirds,43,54,11,0,2,"Hisense Arena, Melbourne",
12,Monday 7 June,Southern Steel,53 - 39,Canterbury Tactix,53,39,14,2,0,"Stadium Southland, Invercargill",
12,Monday 7 June,New South Wales Swifts,60 - 43,Waikato Bay of Plenty Magic,60,43,17,2,0,"State Sports Centre, Sydney",
13,Saturday 12 June,Central Pulse,52 - 58,Waikato Bay of Plenty Magic,52,58,6,0,2,"Pettigrew Green Arena, Napier",
13,Saturday 12 June,Melbourne Vixens,46 - 58,New South Wales Swifts,46,58,12,0,2,"Hisense Arena, Melbourne",
13,Sunday 13 June,Adelaide Thunderbirds,54 - 45,West Coast Fever,54,45,9,2,0,"Adelaide Arena, Adelaide",
13,Monday 14 June,Northern Mystics,43 - 50,Southern Steel,43,50,7,0,2,"Trusts Stadium, Auckland",
13,Monday 14 June,Queensland Firebirds,75 - 32,Canterbury Tactix,75,32,43,2,0,Brisbane Convention and Exhibition Centre,
14,Saturday 19 June,Waikato Bay of Plenty Magic,53 - 44,Adelaide Thunderbirds,53,44,9,2,0,"Energy Events Centre, Rotorua",
14,Sunday 20 June,West Coast Fever,67 - 59,Queensland Firebirds,67,59,8,2,0,"Challenge Stadium, Perth",
14,Sunday 20 June,Canterbury Tactix,47 - 58,Northern Mystics,47,58,11,0,2,"Westpac Arena, Christchurch",
14,Monday 21 June,Central Pulse,48 - 49,Melbourne Vixens,48,49,1,0,2,"Te Rauparaha Arena, Porirua",
14,Monday 21 June,New South Wales Swifts,55 - 38,Southern Steel,55,38,17,2,0,"State Sports Centre, Sydney",
15,Sunday 27 June,New South Wales Swifts,38 - 52,Adelaide Thunderbirds,38,52,14,0,2,"Acer Arena, Sydney",
15,Monday 28 June,Waikato Bay of Plenty Magic,50 - 42,Southern Steel,50,42,8,2,0,"Vector Arena, Auckland""",
16,Sunday 4 July,New South Wales Swifts,49 - 54,Waikato Bay of Plenty Magic,49,54,5,0,2,Newcastle Entertainment Centre,
17,Sunday 11 July,Adelaide Thunderbirds,52 - 42,Waikato Bay of Plenty Magic,52,42,10,2,0,Adelaide Entertainment Centre,
